Car,Datetime,Id,Capacity,Street,Number,City,Country
SB-25-SOM,2024-10-15 07:21:06+00:00,75RA,120L,Strada Crizantemelor,17,Sibiu,Romania
SB-25-SOM,2024-10-15 07:21:09+00:00,75RA,120L,Strada Crizantemelor,17,Sibiu,Romania
SB-25-SOM,2024-10-15 07:21:16+00:00,6OIV,120L,Strada Crizantemelor,18,Sibiu,Romania
SB-25-SOM,2024-10-15 07:21:32+00:00,5KON,120L,Strada Crizantemelor,19,Sibiu,Romania
SB-25-SOM,2024-10-15 07:21:47+00:00,L7GY,120L,Strada Crizantemelor,21,Sibiu,Romania
SB-25-SOM,2024-10-15 07:22:17+00:00,A4FK,120L,Strada Lăcrămioarelor,8,Sibiu,Romania
SB-25-SOM,2024-10-15 07:22:26+00:00,AJ2FQV,120L,Strada Lăcrămioarelor,10,Sibiu,Romania
SB-25-SOM,2024-10-15 07:22:56+00:00,YJTH,120L,Strada Lăcrămioarelor,14,Sibiu,Romania
SB-25-SOM,2024-10-15 07:23:19+00:00,A4NQ,120L,Strada Lăcrămioarelor,16,Sibiu,Romania
SB-25-SOM,2024-10-15 07:23:36+00:00,A4NQ,120L,Strada Lăcrămioarelor,16,Sibiu,Romania
SB-25-SOM,2024-10-15 07:23:50+00:00,AC4W,120L,Strada Lăcrămioarelor,1,Sibiu,Romania
SB-25-SOM,2024-10-15 07:25:05+00:00,PCNHOZ,120L,Strada Lăcrămioarelor,6,Sibiu,Romania
SB-25-SOM,2024-10-15 07:25:33+00:00,A2DB,120L,Strada Lăcrămioarelor,4,Sibiu,Romania
SB-25-SOM,2024-10-15 07:25:49+00:00,7YUI,120L,Strada Lăcrămioarelor,2,Sibiu,Romania
SB-25-SOM,2024-10-15 07:27:02+00:00,PNDB,120L,Strada Pandurilor,14,Sibiu,Romania
SB-25-SOM,2024-10-15 07:27:03+00:00,O6TE,120L,Strada Pandurilor,13,Sibiu,Romania
SB-25-SOM,2024-10-15 07:27:32+00:00,RQJH,120L,Strada Pandurilor,12,Sibiu,Romania
SB-25-SOM,2024-10-15 07:27:52+00:00,BUAP,120L,Strada Pandurilor,7,Sibiu,Romania
SB-25-SOM,2024-10-15 07:27:54+00:00,IRWG,120L,Strada Pandurilor,10,Sibiu,Romania
SB-25-SOM,2024-10-15 07:29:04+00:00,AD3R,120L,Strada Pandurilor,1,Sibiu,Romania
SB-25-SOM,2024-10-15 07:30:52+00:00,BQ6Y,120L,Strada Țiglarilor,34,Sibiu,Romania
SB-25-SOM,2024-10-15 07:31:59+00:00,MNUD,120L,Strada Țiglarilor,45,Sibiu,Romania
SB-25-SOM,2024-10-15 07:32:00+00:00,VWTU,240L,Strada Țiglarilor,40,Sibiu,Romania
SB-25-SOM,2024-10-15 07:33:02+00:00,YVXSD6,120L,Strada Țiglarilor,51,Sibiu,Romania
SB-25-SOM,2024-10-15 07:33:49+00:00,WFCE,120L,Strada Țiglarilor,44,Sibiu,Romania
SB-25-SOM,2024-10-15 07:34:13+00:00,GZKP,120L,Strada Crizantemelor,2,Sibiu,Romania
SB-25-SOM,2024-10-15 07:35:09+00:00,DUYR,120L,Strada Țiglarilor,60,Sibiu,Romania
SB-25-SOM,2024-10-15 07:35:47+00:00,CAHMA5,120L,Strada Țiglarilor,64,Sibiu,Romania
SB-25-SOM,2024-10-15 07:36:33+00:00,CXDWRY,120L,Strada Țiglarilor,66,Sibiu,Romania
SB-25-SOM,2024-10-15 07:36:36+00:00,4BX3,120L,Strada Țiglarilor,66,Sibiu,Romania
SB-25-SOM,2024-10-15 07:37:09+00:00,D5Y7,120L,Strada Țiglarilor,75,Sibiu,Romania
SB-25-SOM,2024-10-15 07:37:11+00:00,B3ZB,120L,Strada Țiglarilor,70,Sibiu,Romania
SB-25-SOM,2024-10-15 07:37:56+00:00,PVRAIY,120L,Strada Țiglarilor,70,Sibiu,Romania
SB-25-SOM,2024-10-15 07:37:58+00:00,PVRAIY,120L,Strada Țiglarilor,70,Sibiu,Romania
SB-25-SOM,2024-10-15 07:38:34+00:00,SGIW,120L,Strada Țiglarilor,79,Sibiu,Romania
SB-25-SOM,2024-10-15 07:38:39+00:00,2L6I,120L,Strada Țiglarilor,77,Sibiu,Romania
SB-25-SOM,2024-10-15 07:39:32+00:00,VIUB,120L,Strada Țiglarilor,76,Sibiu,Romania
SB-25-SOM,2024-10-15 07:39:50+00:00,LIEV,120L,Strada Țiglarilor,81 A,Sibiu,Romania
SB-25-SOM,2024-10-15 07:39:54+00:00,7KUU,120L,Strada Țiglarilor,76 A,Sibiu,Romania
SB-25-SOM,2024-10-15 07:40:18+00:00,YUUH,120L,Strada Țiglarilor,83,Sibiu,Romania
SB-25-SOM,2024-10-15 07:40:20+00:00,MX3D,120L,Strada Țiglarilor,78,Sibiu,Romania
SB-25-SOM,2024-10-15 07:41:07+00:00,TQZ2,120L,Strada Țiglarilor,83,Sibiu,Romania
SB-25-SOM,2024-10-15 07:42:00+00:00,4OBW,120L,Strada Dulgherilor,7,Sibiu,Romania
SB-25-SOM,2024-10-15 07:42:17+00:00,42E3,120L,Strada Dulgherilor,11,Sibiu,Romania
SB-25-SOM,2024-10-15 07:43:38+00:00,EHNR,120L,Strada Dulgherilor,18,Sibiu,Romania
SB-25-SOM,2024-10-15 07:46:45+00:00,6HTD,120L,Strada Țiglarilor,84,Sibiu,Romania
SB-25-SOM,2024-10-15 07:47:23+00:00,6IME,120L,Strada Țiglarilor,85,Sibiu,Romania
SB-25-SOM,2024-10-15 07:48:16+00:00,A2MK,240L,Strada Țiglarilor,89,Sibiu,Romania
SB-25-SOM,2024-10-15 07:48:40+00:00,74ZLG3,120L,Strada Țiglarilor,92,Sibiu,Romania
SB-25-SOM,2024-10-15 07:49:53+00:00,B3FI,120L,Strada Țiglarilor,95,Sibiu,Romania
SB-25-SOM,2024-10-15 07:50:50+00:00,FDSTRJ,120L,Strada Zidarilor,1,Sibiu,Romania
SB-25-SOM,2024-10-15 07:50:56+00:00,H7MM,120L,Strada Zidarilor,2,Sibiu,Romania
SB-25-SOM,2024-10-15 07:51:30+00:00,EUZU,120L,Strada Zidarilor,7,Sibiu,Romania
SB-25-SOM,2024-10-15 07:51:50+00:00,LQS7,120L,Strada Zidarilor,6,Sibiu,Romania
SB-25-SOM,2024-10-15 07:56:08+00:00,QOH2,120L,Strada Țiglarilor,106,Sibiu,Romania
SB-25-SOM,2024-10-15 07:58:43+00:00,7WIN,240L,Strada Țiglarilor,101,Sibiu,Romania
SB-25-SOM,2024-10-15 07:58:46+00:00,LUKAU6,240L,Strada Țiglarilor,101,Sibiu,Romania
SB-25-SOM,2024-10-15 07:59:13+00:00,7VCQ,240L,Strada Țiglarilor,101,Sibiu,Romania
SB-25-SOM,2024-10-15 08:01:02+00:00,FOY2RW,240L,Strada Țiglarilor,103,Sibiu,Romania
SB-25-SOM,2024-10-15 08:01:07+00:00,7T6P,120L,Strada Țiglarilor,103,Sibiu,Romania
SB-25-SOM,2024-10-15 08:01:28+00:00,DL7T,120L,Strada Țiglarilor,103,Sibiu,Romania
SB-25-SOM,2024-10-15 08:01:55+00:00,L4APOF,120L,Strada Țiglarilor,103,Sibiu,Romania
SB-25-SOM,2024-10-15 08:04:16+00:00,7QZLCR,1.100L,Strada Țiglarilor,103,Sibiu,Romania
SB-25-SOM,2024-10-15 08:05:04+00:00,CUGP,120L,Strada Țiglarilor,108,Sibiu,Romania
SB-25-SOM,2024-10-15 08:06:12+00:00,AWBU,120L,Strada Țiglarilor,110,Sibiu,Romania
SB-25-SOM,2024-10-15 08:06:57+00:00,LDNFET,240L,Strada Țiglarilor,105,Sibiu,Romania
SB-25-SOM,2024-10-15 08:07:34+00:00,5CNOGA,120L,Strada Țiglarilor,116,Sibiu,Romania
SB-25-SOM,2024-10-15 08:08:07+00:00,CMJT,120L,Strada Țiglarilor,118,Sibiu,Romania
SB-25-SOM,2024-10-15 08:08:20+00:00,VRJU,120L,Strada Țiglarilor,120,Sibiu,Romania
SB-25-SOM,2024-10-15 08:08:57+00:00,4YA6,120L,Strada Țiglarilor,122,Sibiu,Romania
SB-25-SOM,2024-10-15 08:09:32+00:00,MPB5UZ,120L,Strada Cuptorului,33 A,Sibiu,Romania
SB-25-SOM,2024-10-15 08:10:06+00:00,UJED,240L,Strada Țiglarilor,128 A,Sibiu,Romania
